Sale ID,Item Name,Quantity,Unit Price,Unit,Date,Total Amount
2,item,1,103.0,unit,2026-03-29,103.0
3,item,1,103.0,unit,2026-03-29,103.0
4,item,1,103.0,unit,2026-03-29,103.0
10,item,1,103.0,unit,2026-03-29,103.0
5,eggs,1,10.0,string,2026-03-29,10.0
6,eggs,1,10.0,string,2026-03-29,10.0
7,eggs,1,10.0,string,2026-03-29,10.0
8,eggs,1,10.0,string,2026-03-29,10.0
9,eggs,1,10.0,string,2026-03-29,10.0
11,eggs,1,10.0,string,2026-03-29,10.0
12,eggs,1,10.0,string,2026-03-29,10.0
13,eggs,1,10.0,string,2026-03-29,10.0
14,almond,12,12000.0,bori,2026-03-29,144000.0
15,almond,12,12000.0,bori,2026-03-29,144000.0
16,almond,1,12000.0,bori,2026-03-29,12000.0
17,apples,3,400.0,kg,2026-03-29,1200.0
18,apples,3,400.0,kg,2026-03-29,1200.0
19,apples,1,400.0,kg,2026-03-29,400.0
20,eggs,9,200.0,dozen,2026-03-29,1800.0
21,eggs,5,200.0,dozen,2026-03-29,1000.0
22,chawal,1,4000.0,man,2026-03-29,4000.0
23,chawal,10,4000.0,man,2026-03-29,40000.0
24,banans,3,300.0,dozen,2026-03-29,900.0
25,banans,5,300.0,dozen,2026-03-29,1500.0
26,banans,5,300.0,dozen,2026-03-29,1500.0
27,ٹیسٹ ٹیکسٹ,50,12000.0,bori,2026-03-29,600000.0
28,ٹیکسٹ,60,12000.0,bori,2026-03-29,720000.0
